AUTOR,SERIE,Age (MA),PLUTON,Sample,Rb ppm,Sr ppm,Rb/Sr,87Rb/86Sr(T),Error,87Sr/86Sr(T),Error
[8],PHKCalcAlk,575,Sao Jose do Espinharas,SN-22C,195,549,0.355191257,1.03,0.029,0.71769,0.00026
[8],PHKCalcAlk,575,Sao Jose do Espinharas,SN-12,191,711,0.268635724,0.777,0.022,0.71477,0.00023
[8],PHKCalcAlk,575,Sao Jose do Espinharas,MS-20B,116,606,0.191419142,0.557,0.016,0.71423,0.0001
[8],PHKCalcAlk,575,Sao Jose do Espinharas,SN-21A,151,763,0.197903014,0.573,0.016,0.71391,0.00041
[8],PHKCalcAlk,575,Sao Jose do Espinharas,MS-20C,117,700,0.167142857,0.485,0.14,0.71311,0.00008
[8],PHKCalcAlk,575,Sao Jose do Espinharas,MS-20F,155,914,0.169584245,0.492,0.014,0.71305,0.0001
[8],PHKCalcAlk,575,Sao Jose do Espinharas,MS-20G,145,946,0.153276956,0.443,0.013,0.71247,0.00016
[8],PHKCalcAlk,575,Sao Jose do Espinharas,MS-20E,130,1038,0.125240848,0.362,0.01,0.71191,0.00012
[7],PHKCalcAlk,576,Sao Jose do Espinharas,HD-26B,127,247,0.51417004,1.49,,0.70693,
[14],PHKCalcAlk,575,Sao Paulo do Potengi,ES586,248,236,1.050847458,3.043,,0.716029,
[9],PHKCalcAlk,580,Sao Rafael,DSR-1,59.9,430.7,0.139075923,0.5075,,0.7192,
[9],PHKCalcAlk,580,Sao Rafael,DSR-9,66.6,379.9,0.175309292,0.2388,,0.7185,
[9],PHKCalcAlk,580,Sao Rafael,DSR-2,45.1,546.1,0.082585607,0.3199,,0.717,
[9],PHKCalcAlk,580,Sao Rafael,DSR-4,54,488.5,0.110542477,0.2806,,0.7169,
[9],PHKCalcAlk,580,Sao Rafael,KSR-9,55.3,639.6,0.086460288,0.234,,0.7149,
[9],PHKCalcAlk,580,Sao Rafael,KSR-7,67.5,690.5,0.09775525,0.25,,0.7147,
[9],PHKCalcAlk,580,Sao Rafael,KSR-2,53.2,686.5,0.077494538,0.186,,0.7146,
[9],PHKCalcAlk,580,Sao Rafael,DSR-23,64.9,669.4,0.096952495,0.2377,,0.7144,
[9],PHKCalcAlk,580,Sao Rafael,DSR-10,61.1,744.1,0.082112619,0.2753,,0.7143,
[9],PHKCalcAlk,580,Sao Rafael,DSR-29,72.2,759.2,0.095100105,0.1695,,0.7142,
[9],PHKCalcAlk,580,Sao Rafael,DSR-8,49.9,852.3,0.05854746,0.2058,,0.7141,
[9],PHKCalcAlk,580,Sao Rafael,KSR-13,81.7,788.6,0.103601319,0.283,,0.714,
[9],PHKCalcAlk,580,Sao Rafael,DSR-12,63.7,895.6,0.071125502,0.2534,,0.7138,
[9],PHKCalcAlk,580,Sao Rafael,DSR-13,69.5,793.6,0.087575605,0.1697,,0.7138,
[9],PHKCalcAlk,580,Sao Rafael,KSR-10,63,781.2,0.080645161,0.224,,0.7137,
[9],PHKCalcAlk,580,Sao Rafael,KSR-5,51.3,796,0.064447236,0.4023,,0.7136,
[9],PHKCalcAlk,580,Sao Rafael,DSR-22,51.9,885.1,0.058637442,0.1736,,0.7133,
[9],PHKCalcAlk,580,Sao Rafael,DSR-24,50.3,837.7,0.060045362,0.1194,,0.7133,
[12],PHKCalcAlk,,Serra da Boa Vista,RN-32,117.7,58.5,2.011965812,2.011965812,,0.75445,
[12],PHKCalcAlk,,Serra da Boa Vista,RN-24,98.8,586.4,0.168485675,0.168485675,,0.73714,
[12],PHKCalcAlk,,Serra da Boa Vista,RN-25A,142.5,342.5,0.416058394,0.416058394,,0.73714,
[12],PHKCalcAlk,,Serra da Boa Vista,RN-28,112.1,485.9,0.230705907,0.230705907,,0.71428,
[12],PHKCalcAlk,,Serra da Boa Vista,RN-29A,81.4,936.1,0.086956522,0.086956522,,0.71066,
[6],PHKCalcAlk,582,Serra do Lima,UCG-153d,238.14,68.3,3.486676428,10.18,0.217,0.793644,0.000176
[6],PHKCalcAlk,,Serra do Lima,UCG-119b,306.32,168.2,1.821165279,5.291,0.113,0.752615,0.000119
[6],PHKCalcAlk,,Serra do Lima,UGC-119a,264.26,166.9,1.583343319,4.6,0.09,0.746692,0.000239
[6],PHKCalcAlk,,Serra do Lima,UCG-153a,192.83,139,1.387266187,4.028,0.069,0.743511,0.000347
[6],PHKCalcAlk,,Serra do Lima,UCG-153c,171.57,331.3,0.517869001,1.501,0.025,0.722375,0.000933
